"x^2 on [0,1]",500000,4.22127566863e-006,0.00126638270059
"x^2 on [0,1]",100,0.011118367513,3.33551025391
"x^2 on [0,1]",500,0.00240910085042,0.722730255127
"x^2 on [0,1]",1000,0.00122416337331,0.367249011993
"x^2 on [0,1]",5000,0.000338263659676,0.101479097903
"x^2 on [0,1]",10000,0.000170184572165,0.0510553716495
"x^2 on [0,1]",20000,8.53102427752e-005,0.0255930728326
"x^2 on [0,1]",50000,4.19634489047e-005,0.0125890346714
"x^2 on [0,1]",100000,2.10043134053e-005,0.00630129402159
"x^2 on [0,1]",200000,1.05061471999e-005,0.00315184415997
"x^2 on [0,1]",500000,4.22127566863e-006,0.00126638270059
"sin(x) on [0,pi]",100,0.0118825351762,0.594126758808
"sin(x) on [0,pi]",500,0.00370391637492,0.185195818746
"sin(x) on [0,pi]",1000,0.000964010571766,0.0482005285883
"sin(x) on [0,pi]",5000,0.000108645796808,0.0054322898404
"sin(x) on [0,pi]",10000,2.73831076245e-005,0.00136915538123
"sin(x) on [0,pi]",20000,6.85965496139e-006,0.000342982748069
"sin(x) on [0,pi]",50000,7.90480978541e-006,0.00039524048927
"sin(x) on [0,pi]",100000,1.98081767788e-006,9.90408838941e-005
"sin(x) on [0,pi]",200000,4.9549308212e-007,2.4774654106e-005
"sin(x) on [0,pi]",500000,2.72400064283e-007,1.36200032141e-005
"exp(-x^2) on [0,1]",100,0.00701852468295,0.939782791502
"exp(-x^2) on [0,1]",500,0.00149490246418,0.200167937605
"exp(-x^2) on [0,1]",1000,0.000769393605075,0.103022059849
"exp(-x^2) on [0,1]",5000,0.000214233880964,0.0286859879791
"exp(-x^2) on [0,1]",10000,0.000107719580094,0.0144236876342
"exp(-x^2) on [0,1]",20000,5.39669767187e-005,0.00722619614814
"exp(-x^2) on [0,1]",50000,2.6524630282e-005,0.00355165682476
"exp(-x^2) on [0,1]",100000,1.32783228274e-005,0.00177797184692
"exp(-x^2) on [0,1]",200000,6.64159295494e-006,0.00088931150764
"exp(-x^2) on [0,1]",500000,2.67018704048e-006,0.00035753893362
